,Time,tc1,tc2,tc3,tc4,tc5,tc6,tc7,tc8,tc9
0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
1,5.01,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
2,10.0,20.2,20.2,21.3,20.1,20.1,21.8,20.3,20.2,21.5
3,15.0,20.5,25.5,61.4,20.4,21.0,56.6,20.6,26.0,64.7
4,20.0,20.9,24.4,120.0,20.8,21.7,109.0,20.9,24.1,119.0
5,25.0,21.6,23.7,189.0,21.9,22.8,200.0,21.8,26.4,209.0
6,30.0,22.0,23.6,243.0,22.7,23.6,259.0,22.5,26.8,277.0
7,35.0,22.4,24.4,270.0,23.2,24.2,290.0,22.8,28.5,308.0
8,40.0,22.6,25.5,298.0,23.5,25.1,309.0,23.2,30.8,316.0
9,45.0,22.9,25.8,315.0,24.0,26.0,323.0,23.5,33.2,327.0
10,50.0,23.4,28.5,335.0,24.7,26.8,347.0,24.2,36.6,345.0
11,55.0,24.5,34.5,380.0,25.7,29.1,385.0,24.9,40.3,360.0
12,60.0,25.3,33.6,395.0,26.5,30.5,400.0,25.7,46.2,386.0
13,65.0,25.5,34.7,398.0,27.0,31.1,399.0,26.0,48.3,387.0
14,70.0,25.6,38.0,398.0,27.1,32.1,395.0,26.2,49.7,395.0
15,75.0,25.9,38.9,403.0,27.3,34.2,406.0,26.4,53.7,397.0
16,80.0,26.0,38.4,408.0,27.6,34.2,411.0,26.5,52.1,399.0
17,85.0,26.5,40.7,408.0,27.9,35.0,427.0,26.7,51.7,409.0
18,90.0,26.7,47.9,418.0,28.2,38.2,419.0,27.1,51.1,403.0
19,95.0,26.8,45.9,413.0,28.5,42.9,430.0,27.2,59.4,404.0
20,100.0,27.1,46.3,418.0,28.7,42.4,427.0,27.6,67.0,417.0
21,105.0,27.5,46.3,413.0,29.0,39.9,441.0,27.9,62.4,416.0
22,110.0,27.6,45.7,421.0,29.5,38.3,449.0,28.1,62.8,424.0
23,115.0,27.8,45.5,431.0,29.7,36.5,458.0,28.3,67.3,417.0
24,120.0,27.9,43.3,439.0,30.0,36.2,469.0,28.6,69.5,414.0
25,125.0,28.2,45.0,439.0,30.3,38.3,461.0,29.2,73.2,419.0
26,130.0,28.7,48.5,440.0,30.8,38.3,460.0,29.3,75.7,427.0
27,135.0,28.8,50.5,456.0,31.1,38.2,469.0,30.4,76.9,432.0
28,140.0,29.2,52.4,454.0,31.4,40.5,475.0,30.9,74.7,428.0
29,145.0,29.4,52.5,444.0,31.6,41.0,475.0,30.6,79.6,439.0
30,150.0,29.3,52.3,443.0,32.1,42.5,486.0,31.3,81.1,452.0
31,155.0,29.5,57.0,457.0,32.4,43.0,494.0,31.0,81.7,438.0
32,160.0,29.7,55.0,470.0,32.6,40.6,488.0,31.5,86.0,449.0
33,165.0,30.1,53.9,462.0,33.0,43.5,483.0,32.0,89.3,461.0
34,170.0,30.3,55.9,465.0,33.4,42.4,501.0,32.7,91.1,465.0
35,175.0,30.3,65.6,471.0,33.5,43.2,505.0,33.5,97.8,457.0
36,180.0,30.8,79.1,480.0,34.0,44.4,508.0,34.3,94.2,470.0
37,185.0,31.2,67.7,481.0,34.6,49.0,502.0,33.6,98.1,472.0
38,190.0,31.7,68.9,485.0,35.1,49.4,512.0,34.0,101.0,470.0
39,195.0,32.1,65.8,479.0,34.8,49.4,526.0,35.1,99.9,482.0
40,200.0,32.2,65.4,471.0,35.2,51.5,527.0,34.1,105.0,489.0
41,205.0,33.4,65.9,486.0,35.7,48.4,536.0,34.1,115.0,486.0
42,210.0,33.2,66.0,490.0,36.1,50.2,528.0,34.4,110.0,482.0
43,215.0,33.6,65.2,498.0,36.5,49.5,544.0,35.0,114.0,497.0
44,220.0,34.0,71.1,520.0,37.1,50.7,566.0,35.2,112.0,496.0
45,225.0,34.5,71.4,537.0,37.7,50.3,566.0,35.9,114.0,501.0
46,230.0,34.8,73.3,522.0,38.0,50.5,548.0,35.6,128.0,502.0
47,235.0,35.4,69.3,516.0,38.6,52.0,545.0,35.8,139.0,492.0
48,240.0,35.4,76.5,495.0,38.7,49.8,540.0,36.9,128.0,478.0
49,245.0,35.9,80.6,499.0,39.2,53.3,531.0,38.1,121.0,471.0
50,250.0,35.7,76.2,492.0,39.2,52.5,521.0,37.9,143.0,486.0
51,255.0,35.6,75.0,486.0,38.5,50.3,498.0,38.7,149.0,482.0
52,260.0,34.9,70.5,470.0,38.4,46.8,484.0,37.8,156.0,470.0
53,265.0,34.1,65.0,449.0,37.2,43.4,459.0,35.9,166.0,448.0
54,270.0,33.3,66.0,426.0,36.1,46.1,436.0,34.8,137.0,429.0
55,275.0,32.6,74.5,420.0,35.4,44.4,425.0,34.0,121.0,407.0
56,280.0,32.3,65.2,412.0,34.9,42.1,420.0,33.3,114.0,401.0
57,285.0,31.8,57.7,404.0,34.7,40.0,412.0,33.5,116.0,398.0
58,290.0,31.7,60.1,399.0,34.4,40.5,411.0,34.2,112.0,388.0
59,295.0,31.6,61.2,394.0,34.1,39.9,412.0,34.2,115.0,391.0
60,300.0,31.3,61.3,390.0,33.9,40.2,400.0,33.7,131.0,386.0
61,305.0,31.1,52.1,383.0,33.7,39.3,392.0,33.7,117.0,372.0
62,310.0,31.1,48.7,372.0,33.7,37.9,382.0,33.3,95.5,367.0
63,315.0,30.8,47.6,371.0,33.4,38.3,373.0,33.0,102.0,353.0
64,320.0,30.4,45.7,361.0,32.7,38.3,356.0,32.6,92.1,352.0
65,325.0,30.0,46.7,345.0,31.9,37.1,339.0,31.9,85.0,332.0
66,330.0,29.5,46.1,326.0,31.1,35.8,321.0,31.3,80.6,313.0
67,335.0,29.0,40.7,310.0,29.9,34.9,302.0,30.6,76.3,294.0
68,340.0,28.5,36.6,287.0,29.0,33.0,284.0,30.2,66.0,280.0
69,345.0,28.0,36.2,253.0,28.5,31.5,265.0,29.9,59.3,264.0
70,350.0,27.5,40.5,236.0,28.2,30.9,245.0,29.5,57.5,254.0
71,355.0,27.4,39.0,222.0,27.9,31.4,228.0,29.1,51.7,235.0
72,360.0,27.1,36.7,207.0,27.6,31.5,218.0,28.7,48.1,223.0
73,365.0,26.7,33.4,195.0,27.2,30.5,212.0,28.4,48.2,204.0
74,370.0,26.6,32.3,181.0,26.9,29.2,207.0,28.6,52.3,169.0
75,375.0,26.4,34.4,180.0,26.8,28.0,197.0,28.5,52.3,151.0
76,380.0,26.4,36.2,177.0,26.5,28.4,194.0,28.8,53.7,151.0
77,385.0,26.2,36.5,155.0,26.4,28.3,192.0,28.8,51.1,150.0
78,390.0,26.2,38.5,144.0,26.3,29.9,189.0,28.5,50.3,135.0
79,395.0,26.2,36.7,140.0,26.1,30.4,185.0,27.9,51.0,119.0
80,400.0,26.1,36.4,131.0,26.0,30.5,169.0,28.1,50.2,113.0
81,405.0,25.9,35.1,124.0,26.0,30.1,164.0,27.9,48.9,116.0
82,410.0,26.0,34.6,126.0,25.9,28.5,161.0,27.7,47.7,116.0
83,415.0,25.8,35.4,134.0,25.8,27.4,151.0,28.0,49.9,115.0
84,420.0,25.8,33.9,133.0,25.8,27.3,146.0,27.8,50.9,113.0
85,425.0,25.8,36.4,121.0,25.7,28.0,144.0,27.7,50.5,112.0
86,430.0,25.6,37.4,115.0,25.7,27.6,145.0,27.6,45.6,112.0
87,435.0,25.5,35.5,118.0,25.5,27.8,145.0,27.4,45.7,107.0
88,440.0,25.2,35.4,119.0,25.5,26.9,142.0,27.4,47.6,106.0
89,445.0,25.3,33.6,115.0,25.4,26.3,135.0,27.0,49.3,106.0
90,450.0,25.1,34.3,111.0,25.3,26.6,128.0,26.9,46.8,103.0
91,455.0,25.1,35.2,111.0,25.2,27.1,129.0,27.0,46.4,102.0
92,460.0,24.9,32.0,110.0,25.1,26.2,128.0,26.9,45.1,103.0
93,465.0,25.0,34.1,107.0,25.1,26.0,128.0,27.0,45.2,95.3
94,470.0,25.0,38.0,102.0,24.9,26.0,129.0,26.5,43.6,93.3
95,475.0,25.0,39.1,105.0,24.9,26.2,120.0,26.6,42.0,90.3
96,480.0,24.8,37.7,105.0,24.8,25.9,117.0,26.5,42.1,83.4
97,485.0,24.6,35.9,106.0,24.7,25.7,117.0,26.6,40.1,83.3
98,490.0,24.6,35.3,104.0,24.6,26.1,115.0,26.3,40.4,89.5
99,495.0,24.5,34.8,100.0,24.6,26.2,111.0,26.3,40.0,90.0
100,500.0,24.5,32.7,102.0,24.6,26.9,107.0,26.4,41.0,87.4
101,505.0,24.3,30.7,99.7,24.5,29.5,109.0,26.1,41.1,85.5
102,510.0,24.4,31.2,99.3,24.4,27.6,106.0,26.3,40.4,84.5
103,515.0,24.4,30.9,94.6,24.3,26.0,108.0,26.3,39.8,84.7
104,520.0,24.4,29.7,89.9,24.2,25.6,104.0,26.3,40.2,81.4
105,525.0,24.3,29.8,89.4,24.2,27.2,105.0,26.4,39.9,81.5
106,530.0,24.2,30.8,90.2,24.3,25.8,104.0,26.1,40.5,81.9
107,535.0,24.1,31.5,88.4,24.1,25.2,104.0,26.5,39.7,81.7
108,540.0,24.1,32.9,88.9,24.1,24.9,101.0,26.5,40.2,82.0
109,545.0,24.2,31.7,88.9,24.0,25.3,96.8,26.0,41.6,79.8
110,550.0,24.1,32.1,86.7,23.9,25.6,96.2,25.6,40.7,74.6
111,555.0,24.0,30.7,86.1,23.9,24.9,97.7,25.5,38.8,76.7
112,560.0,23.9,31.3,84.1,23.8,24.8,96.2,25.5,38.4,79.2
113,565.0,23.8,32.3,83.3,23.8,25.3,91.0,25.6,39.2,77.6
114,570.0,23.8,30.9,82.3,23.8,25.7,91.0,25.4,40.1,76.2
115,575.0,24.1,29.7,82.0,23.7,24.8,91.6,25.3,39.2,70.6
116,580.0,24.0,29.5,80.2,23.6,24.8,90.9,25.5,39.0,72.4
117,585.0,23.7,30.0,79.9,23.6,25.5,89.9,25.2,37.7,70.6
118,590.0,23.7,30.3,77.6,23.6,25.4,88.7,25.2,37.1,70.5
119,595.0,23.8,30.2,75.4,23.6,25.0,87.3,25.0,36.1,68.5
120,600.0,23.6,29.6,75.8,23.5,24.5,87.4,25.3,35.9,68.9
